metric,year,united_states,china,unit,source,source_url,access_date,notes
private_ai_investment,2025,285.9,12.4,USD_billion,"Stanford HAI AI Index 2026 (data: Quid)",https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-06-23,"Ratio 23.1x; understates China due to state guidance funds (~$184B in AI thru 2023)"
us_investment_prior_year,2024,109.1,NA,USD_billion,"Stanford HAI AI Index 2026",https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-06-23,"US +162% YoY; gap widened from 11.7x (2024) to 23.1x (2025)"
california_share_of_us_investment,2025,218.0,NA,USD_billion,"Stanford HAI AI Index 2026",https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-06-23,">75% of US total"
notable_ai_models,2025,50,30,count,"Stanford HAI AI Index 2026 (data: Epoch AI)",https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-06-23,"China up from 15 in 2024"
newly_funded_ai_companies,2025,1953,161,count,"Stanford HAI AI Index 2026",https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-06-23,"US >10x next country"
top_model_quality_gap_us_lead,2026,2.7,NA,percent,"Stanford HAI AI Index 2026",https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-06-23,"As of Mar 2026; was 17.5-31.6pp in May 2023"
mmlu_us_lead_end2023,2023,17.5,NA,percentage_points,"Stanford HAI AI Index",https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-06-23,"Collapsed to 0.3pp by end-2024"
mmlu_us_lead_end2024,2024,0.3,NA,percentage_points,"Stanford HAI AI Index",https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-06-23,"Near-parity on MMLU"
ai_patents_global_share,2025,NA,69.7,percent,"Stanford HAI AI Index 2026",https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-06-23,"China leads patent filings"
ai_publications_share,2025,12.6,23.2,percent,"Stanford HAI AI Index 2026",https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-06-23,"US 12.6% = citations share; China 23.2% pubs / 20.6% citations"
industrial_robot_installs,2025,34200,295000,units,"Stanford HAI AI Index 2026 (IFR)",https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-06-23,"China ~9x US"
data_centers,2025,5427,NA,count,"Stanford HAI AI Index 2026",https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-06-23,"US >10x any country"
ai_researcher_inflow_change_since_2017,2025,-89,NA,percent,"Stanford HAI AI Index 2026",https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-06-23,"Inflow of AI talent TO the US; 80% of drop in last year alone"
